unique_id,ds,best_model,best_model-hi-90,best_model-lo-90
0101,2023-10-01,259,357,161
0101,2023-11-01,432,542,321
0101,2023-12-01,413,529,296
0101,2024-01-01,414,545,283
0101,2024-02-01,429,571,286
0101,2024-03-01,279,430,128
0101,2024-04-01,512,672,352
0101,2024-05-01,614,783,445
0101,2024-06-01,540,716,363
0101,2024-07-01,520,704,336
0101,2024-08-01,651,843,460
0101,2024-09-01,521,720,323
0102,2023-10-01,0,0,0
0102,2023-11-01,0,0,0
0102,2023-12-01,0,0,0
0102,2024-01-01,0,0,0
0102,2024-02-01,0,0,0
0102,2024-03-01,0,0,0
0102,2024-04-01,0,0,0
0102,2024-05-01,0,0,0
0102,2024-06-01,0,0,0
0102,2024-07-01,0,0,0
0102,2024-08-01,0,0,0
0102,2024-09-01,0,0,0
0201,2023-10-01,45,80,9
0201,2023-11-01,39,71,8
0201,2023-12-01,34,61,7
0201,2024-01-01,29,52,6
0201,2024-02-01,24,43,4
0201,2024-03-01,18,33,3
0201,2024-04-01,13,24,2
0201,2024-05-01,8,15,0
0201,2024-06-01,2,8,-2
0201,2024-07-01,-2,3,-8
0201,2024-08-01,-7,1,-16
0201,2024-09-01,-13,0,-25
0202,2023-10-01,46226,56732,35719
0202,2023-11-01,34072,44578,23565
0202,2023-12-01,28424,38930,17917
0202,2024-01-01,23697,34203,13190
0202,2024-02-01,34587,45093,24080
0202,2024-03-01,41191,51697,30684
0202,2024-04-01,28861,39367,18354
0202,2024-05-01,43972,54478,33465
0202,2024-06-01,39382,49888,28875
0202,2024-07-01,41197,51703,30690
0202,2024-08-01,46833,57339,36326
0202,2024-09-01,42213,52719,31706
0203,2023-10-01,801,1434,168
0203,2023-11-01,801,1434,168
0203,2023-12-01,801,1434,168
0203,2024-01-01,801,1434,168
0203,2024-02-01,801,1434,168
0203,2024-03-01,801,1434,168
0203,2024-04-01,801,1434,168
0203,2024-05-01,801,1434,168
0203,2024-06-01,801,1434,168
0203,2024-07-01,801,1434,168
0203,2024-08-01,801,1434,168
0203,2024-09-01,801,1434,168
0204,2023-10-01,807,1289,325
0204,2023-11-01,807,1342,272
0204,2023-12-01,807,1390,224
0204,2024-01-01,807,1434,180
0204,2024-02-01,807,1476,139
0204,2024-03-01,807,1515,100
0204,2024-04-01,807,1552,63
0204,2024-05-01,807,1587,27
0204,2024-06-01,807,1621,-5
0204,2024-07-01,807,1653,-38
0204,2024-08-01,807,1684,-69
0204,2024-09-01,807,1714,-99
0205,2023-10-01,1322,1762,882
0205,2023-11-01,1322,1769,875
0205,2023-12-01,1322,1777,867
0205,2024-01-01,1322,1784,860
0205,2024-02-01,1322,1791,853
0205,2024-03-01,1322,1798,846
0205,2024-04-01,1322,1805,839
0205,2024-05-01,1322,1812,832
0205,2024-06-01,1322,1819,825
0205,2024-07-01,1322,1826,818
0205,2024-08-01,1322,1832,812
0205,2024-09-01,1322,1839,805
0206,2023-10-01,608,1142,74
0206,2023-11-01,494,1068,-79
0206,2023-12-01,523,1206,-159
0206,2024-01-01,472,1203,-257
0206,2024-02-01,468,1259,-322
0206,2024-03-01,439,1271,-392
0206,2024-04-01,426,1299,-447
0206,2024-05-01,404,1311,-501
0206,2024-06-01,389,1326,-548
0206,2024-07-01,371,1336,-592
0206,2024-08-01,356,1345,-632
0206,2024-09-01,340,1351,-669
0207,2023-10-01,219,413,25
0207,2023-11-01,219,413,25
0207,2023-12-01,219,413,25
0207,2024-01-01,219,413,25
0207,2024-02-01,219,413,25
0207,2024-03-01,219,413,25
0207,2024-04-01,219,413,25
0207,2024-05-01,219,413,25
0207,2024-06-01,219,413,25
0207,2024-07-01,219,413,25
0207,2024-08-01,219,413,25
0207,2024-09-01,219,413,25
0208,2023-10-01,163,228,97
0208,2023-11-01,156,235,77
0208,2023-12-01,158,252,65
0208,2024-01-01,158,263,52
0208,2024-02-01,158,274,41
0208,2024-03-01,203,329,76
