unique_id,ds,y
0201010097 BIOPSIA DE CONJUNTIVA,2017-10-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2017-11-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2017-12-01,2
0201010097 BIOPSIA DE CONJUNTIVA,2018-01-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-02-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-03-01,1
0201010097 BIOPSIA DE CONJUNTIVA,2018-04-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-05-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-06-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-07-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-08-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-09-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-10-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-11-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2018-12-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-01-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-02-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-03-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-04-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-05-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-06-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-07-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-08-01,1
0201010097 BIOPSIA DE CONJUNTIVA,2019-09-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-10-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-11-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2019-12-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-01-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-02-01,1
0201010097 BIOPSIA DE CONJUNTIVA,2020-03-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-04-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-05-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-06-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-07-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-08-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-09-01,1
0201010097 BIOPSIA DE CONJUNTIVA,2020-10-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-11-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2020-12-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-01-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-02-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-03-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-04-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-05-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-06-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-07-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-08-01,1
0201010097 BIOPSIA DE CONJUNTIVA,2021-09-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-10-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-11-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2021-12-01,1
0201010097 BIOPSIA DE CONJUNTIVA,2022-01-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-02-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-03-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-04-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-05-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-06-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-07-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-08-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-09-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-10-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-11-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2022-12-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-01-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-02-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-03-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-04-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-05-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-06-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-07-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-08-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-09-01,0
0201010097 BIOPSIA DE CONJUNTIVA,2023-10-01,0
0201010119 BIOPSIA DE CORNEA,2017-10-01,0
0201010119 BIOPSIA DE CORNEA,2017-11-01,0
0201010119 BIOPSIA DE CORNEA,2017-12-01,0
0201010119 BIOPSIA DE CORNEA,2018-01-01,0
0201010119 BIOPSIA DE CORNEA,2018-02-01,0
0201010119 BIOPSIA DE CORNEA,2018-03-01,0
